City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,angaur state,6.906,134.13,27.9,81,100,8.7,PW,1689535135
1,adamstown,-25.066,-130.1015,20.79,79,100,3.15,PN,1689534908
2,port-aux-francais,-49.35,70.2167,2.0,54,92,12.92,TF,1689534898
3,stanley,54.868,-1.6985,16.77,74,20,5.66,GB,1689535137
4,ust-nera,64.5667,143.2,9.96,78,12,3.86,RU,1689535137
5,east london,-33.0153,27.9116,17.63,55,99,1.77,ZA,1689535137
6,puerto ayacucho,5.6639,-67.6236,29.34,73,29,1.78,VE,1689535138
7,umbauba,-11.3833,-37.6578,25.5,69,31,3.56,BR,1689535138
8,okha,53.5739,142.9478,10.65,98,98,4.86,RU,1689535139
9,cozumel,20.5083,-86.9458,34.04,64,40,5.14,MX,1689535139
10,isafjordur,66.0755,-23.124,10.24,57,19,3.72,IS,1689534915
11,yellowknife,62.456,-114.3525,22.29,49,75,6.17,CA,1689534912
12,tiksi,71.6872,128.8694,4.66,93,100,2.59,RU,1689534916
13,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1689534906
14,nova vicosa,-17.8919,-39.3719,24.32,71,80,3.67,BR,1689535141
15,tafuna,-14.3358,-170.72,26.97,94,75,5.14,AS,1689535141
16,gaigeturi,33.4644,126.3183,26.03,89,0,1.03,KR,1689535142
17,blackmans bay,-43.0167,147.3167,12.07,65,40,5.78,AU,1689535054
18,edinburgh of the seven seas,-37.0676,-12.3116,13.01,78,10,13.04,SH,1689535142
19,la palma,33.8464,-118.0467,38.7,65,20,3.6,US,1689535143
20,viedma,-40.8135,-62.9967,7.17,65,100,9.13,AR,1689535144
21,iqaluit,63.7506,-68.5145,9.85,87,100,3.6,CA,1689534895
22,okhotsk,59.3833,143.3,13.97,90,100,0.87,RU,1689535144
23,thompson,55.7435,-97.8558,15.09,72,100,2.06,CA,1689534892
24,hadibu,12.65,54.0333,25.66,79,93,7.4,YE,1689535145
25,englewood,39.6478,-104.9878,32.17,33,20,2.06,US,1689534889
26,jiangyou,31.7667,104.7167,22.75,83,8,1.68,CN,1689535146
27,mana,5.6592,-53.7767,28.54,77,9,5.18,GF,1689535147
28,misratah,32.3754,15.0925,29.11,54,0,3.8,LY,1689535147
29,zeya,53.75,127.2667,18.54,67,5,1.69,RU,1689535148
30,bethel,41.3712,-73.414,25.47,88,100,2.86,US,1689535065
31,wailua homesteads,22.0669,-159.378,27.44,74,75,6.17,US,1689535078
32,colonia,50.9333,6.95,23.36,44,0,4.12,DE,1689535098
33,ciudad lazaro cardenas,17.9583,-102.2,31.71,67,56,3.33,MX,1689535149
34,kaa-khem,51.6833,94.7333,15.85,79,4,1.67,RU,1689534919
35,waitangi,-43.9535,-176.5597,9.9,82,100,13.76,NZ,1689534907
36,sorong,-0.8833,131.25,25.26,91,100,4.83,ID,1689535151
37,island harbour,50.724,-1.2758,17.89,78,88,3.58,GB,1689535151
38,la'ie,21.6477,-157.9253,27.98,79,9,2.68,US,1689535152
39,qaqortoq,60.7167,-46.0333,6.4,93,100,2.1,GL,1689535082
40,katsuren-haebaru,26.3369,127.8719,28.43,86,75,8.23,JP,1689535152
